time,x,y
16.991399030374986,1095,1512
17.00807361234788,862,1437
17.024748194320768,862,1436
17.041422776293658,862,1436
17.058097358266547,862,1434
17.074771940239437,862,1434
17.091446522212326,863,1433
17.10812110418522,864,1432
17.12479568615811,864,1431
17.141470268131,863,1429
17.158144850103888,863,1428
17.174819432076777,863,1426
17.191494014049667,865,1425
17.208168596022556,866,1423
17.22484317799545,866,1425
17.24151775996834,868,1423
17.25819234194123,868,1422
17.274866923914118,871,1421
17.291541505887007,873,1419
17.308216087859897,874,1419
17.32489066983279,876,1419
17.34156525180568,876,1418
17.35823983377857,877,1418
17.37491441575146,878,1416
17.391588997724348,880,1416
17.408263579697238,882,1414
17.42493816167013,885,1414
17.44161274364302,889,1414
17.45828732561591,891,1415
17.4749619075888,894,1415
17.49163648956169,904,1421
17.508311071534578,915,1423
17.524985653507468,924,1426
17.54166023548036,935,1427
17.55833481745325,952,1430
17.57500939942614,971,1436
17.59168398139903,987,1439
17.60835856337192,1008,1442
17.62503314534481,1030,1445
17.6417077273177,1051,1447
17.65838230929059,1071,1450
17.67505689126348,1095,1451
17.69173147323637,1118,1452
17.70840605520926,1144,1450
17.72508063718215,1166,1449
17.741755219155042,1186,1446
17.75842980112793,1210,1442
17.77510438310082,1229,1437
17.79177896507371,1248,1431
17.8084535470466,1264,1424
17.82512812901949,1280,1419
17.84180271099238,1300,1413
17.858477292965272,1311,1407
17.87515187493816,1334,1402
17.89182645691105,1351,1397
17.90850103888394,1356,1395
17.92517562085683,1366,1391
17.94185020282972,1374,1389
17.958524784802613,1380,1387
17.975199366775502,1384,1387
17.991873948748392,1382,1384
18.00854853072128,1383,1383
18.02522311269417,1384,1382
18.04189769466706,1382,1381
18.058572276639953,1376,1381
18.075246858612843,1369,1382
18.091921440585732,1358,1385
18.108596022558622,1343,1388
18.12527060453151,1329,1392
18.1419451865044,1312,1397
18.158619768477294,1294,1399
18.175294350450184,1274,1404
18.191968932423073,1250,1408
18.208643514395963,1228,1411
18.225318096368852,1202,1413
18.24199267834174,1178,1415
18.25866726031463,1154,1417
18.275341842287524,1130,1417
18.292016424260414,1105,1418
18.308691006233303,1080,1419
18.325365588206193,1063,1418
18.342040170179082,1039,1416
18.358714752151972,1018,1413
18.375389334124865,1002,1409
18.392063916097754,980,1406
18.408738498070644,966,1403
18.425413080043533,949,1399
18.442087662016423,934,1395
18.458762243989312,924,1392
18.475436825962205,912,1388
18.492111407935095,905,1385
18.508785989907985,899,1384
18.525460571880874,893,1383
18.542135153853764,892,1383
18.558809735826653,893,1383
18.575484317799543,893,1382
18.592158899772436,898,1385
18.608833481745325,903,1388
18.625508063718215,911,1392
18.642182645691104,921,1395
18.658857227663994,932,1399
18.675531809636883,946,1404
18.692206391609776,960,1409
18.708880973582666,976,1412
18.725555555555555,992,1414
18.742230137528445,1011,1420
18.758904719501334,1028,1424
18.775579301474224,1046,1429
18.792253883447117,1064,1430
18.808928465420006,1086,1432
18.825603047392896,1108,1434
18.842277629365785,1128,1432
18.858952211338675,1151,1434
18.875626793311564,1173,1432
18.892301375284454,1190,1431
18.908975957257347,1208,1429
18.925650539230237,1226,1426
18.942325121203126,1237,1424
18.958999703176016,1246,1421
